,,,threshold,pp,pn,prevalence,pred-prevalence,fpr,tnr,tpr,fnr,accuracy,precision,roc_auc,f1,threshold_group-0,pp_group-0,pn_group-0,prevalence_group-0,pred-prevalence_group-0,fpr_group-0,tnr_group-0,tpr_group-0,fnr_group-0,accuracy_group-0,precision_group-0,roc_auc_group-0,f1_group-0,threshold_group-1,pp_group-1,pn_group-1,prevalence_group-1,pred-prevalence_group-1,fpr_group-1,tnr_group-1,tpr_group-1,fnr_group-1,accuracy_group-1,precision_group-1,roc_auc_group-1,f1_group-1,fpr_ratio,fpr_diff,fnr_ratio,fnr_diff
Adult-2021.Fairlearn-GS.BASELINE-results.100-trials-per-algo.threshold=0.5.use-val-threshold=False,Fairlearn-GS-LGBM.000,validation,0.5,79832.0,251254.0,0.3707526141244269,0.2411216421111131,0.1772961816305469,0.822703818369453,0.3494472550121791,0.6505527449878209,0.6472427103532012,0.5373158633129572,0.5860755366908161,0.423480746163301,0.5,0.0,172083.0,0.4441112718862409,0.0,0.0,1.0,0.0,1.0,0.5558887281137591,0.0,0.5,0.0,0.5,79832.0,79171.0,0.2913592825292604,0.5020785771337648,0.3278160389080194,0.6721839610919805,0.9259179312280096,0.0740820687719904,0.7461117085841148,0.5373158633129572,0.7990509461599951,0.6800149018302302,0.0,0.3278160389080194,0.0740820687719904,0.9259179312280096
Adult-2021.Fairlearn-GS.BASELINE-results.100-trials-per-algo.threshold=0.5.use-val-threshold=False,Fairlearn-GS-LGBM.000,test,0.5,79668.0,251418.0,0.3703146614474789,0.2406263025316685,0.178981197237145,0.821018802762855,0.3454480204883937,0.6545519795116063,0.6449079695305752,0.5316312697695436,0.5832334116256244,0.4187784885847909,0.5,0.0,172860.0,0.4445909984958926,0.0,0.0,1.0,0.0,1.0,0.5554090015041073,0.0,0.5,0.0,0.5,79668.0,78558.0,0.2891686574899195,0.5035076409692465,0.3317625720179245,0.6682374279820755,0.9256895571971848,0.074310442802815,0.74268451455513,0.5316312697695436,0.7969634925896303,0.6753839039402975,0.0,0.3317625720179245,0.074310442802815,0.9256895571971848
Adult-2021.Fairlearn-GS.BASELINE-results.100-trials-per-algo.threshold=0.5.use-val-threshold=False,Fairlearn-GS-LGBM.001,validation,0.5,115502.0,215584.0,0.3707526141244269,0.348858000640317,0.1318837449300405,0.8681162550699595,0.7171102475743578,0.2828897524256421,0.8121303830424723,0.7621166733043584,0.7926132513221587,0.7389287857865379,0.5,64659.0,107424.0,0.4441112718862409,0.375743100713028,0.1228007819441976,0.8771992180558024,0.6923479535224537,0.3076520464775463,0.7951046878541169,0.8183238218964104,0.784773585789128,0.7500832843078189,0.5,50843.0,108160.0,0.2913592825292604,0.3197612623661189,0.1395949447974724,0.8604050552025276,0.7579597211129578,0.2420402788870421,0.8305566561637202,0.6906358790787326,0.8091823881577427,0.7227333539158176,0.8796936172893643,0.0167941628532747,0.7867338496794533,0.0656117675905042
Adult-2021.Fairlearn-GS.BASELINE-results.100-trials-per-algo.threshold=0.5.use-val-threshold=False,Fairlearn-GS-LGBM.001,test,0.5,115472.0,215614.0,0.3703146614474789,0.3487673897416381,0.1317872217958557,0.8682127782041443,0.7177218080681207,0.2822781919318793,0.81248376554732,0.7620635305528612,0.7929672931361325,0.7392283201303774,0.5,65035.0,107825.0,0.4445909984958926,0.3762293185236607,0.1217919340054995,0.8782080659945004,0.6940873366991099,0.30591266330089,0.7963496471132708,0.820204505266395,0.7861477013468052,0.7518941129208454,0.5,50437.0,107789.0,0.2891686574899195,0.3187655631817779,0.1403193683761291,0.8596806316238709,0.757420116273987,0.242579883726013,0.8301100956859176,0.6870947915220968,0.8085503739489289,0.7205455811874291,0.8679623876230226,0.0185274343706296,0.7929710431353276,0.0633327795748769
Adult-2021.Fairlearn-GS.BASELINE-results.100-trials-per-algo.threshold=0.5.use-val-threshold=False,Fairlearn-GS-LGBM.002,validation,0.5,119561.0,211525.0,0.3707526141244269,0.3611176552315712,0.2211870305037559,0.778812969496244,0.5986101946216325,0.4013898053783676,0.7120023196390062,0.6145816779719139,0.6887115820589382,0.6064908052428274,0.5,119561.0,52522.0,0.4441112718862409,0.6947868179889937,0.481721531690693,0.518278468309307,0.9614780697163194,0.0385219302836805,0.7151084069896504,0.6145816779719139,0.7398782690128133,0.74985330509988,0.5,0.0,159003.0,0.2913592825292604,0.0,0.0,1.0,0.0,1.0,0.7086407174707395,0.0,0.5,0.0,0.0,0.481721531690693,0.0385219302836805,0.9614780697163194
Adult-2021.Fairlearn-GS.BASELINE-results.100-trials-per-algo.threshold=0.5.use-val-threshold=False,Fairlearn-GS-LGBM.002,test,0.5,120123.0,210963.0,0.3703146614474789,0.3628150994001558,0.2219301611665387,0.7780698388334613,0.6023767189207706,0.3976232810792294,0.7130081006143419,0.6148281344954755,0.6902232788771159,0.6085387407355528,0.5,120123.0,52737.0,0.4445909984958926,0.6949149600833044,0.4819181734855429,0.5180818265144571,0.961002966741269,0.038997033258731,0.7150005785028347,0.6148281344954755,0.739542396627863,0.749892118289123,0.5,0.0,158226.0,0.2891686574899195,0.0,0.0,1.0,0.0,1.0,0.7108313425100805,0.0,0.5,0.0,0.0,0.4819181734855429,0.038997033258731,0.961002966741269
Adult-2021.Fairlearn-GS.BASELINE-results.100-trials-per-algo.threshold=0.5.use-val-threshold=False,Fairlearn-GS-LGBM.003,validation,0.5,88388.0,242698.0,0.3707526141244269,0.2669638704143334,0.2133678930568555,0.7866321069431444,0.3579278376550904,0.6420721623449096,0.6276888784182961,0.4970810517264787,0.5722799722991174,0.4161808097982846,0.5,0.0,172083.0,0.4441112718862409,0.0,0.0,1.0,0.0,1.0,0.5558887281137591,0.0,0.5,0.0,0.5,88388.0,70615.0,0.2913592825292604,0.5558888825996994,0.3945116972558486,0.6054883027441513,0.9483886286614716,0.0516113713385282,0.7053954956824714,0.4970810517264787,0.7769384657028116,0.6522807408232194,0.0,0.3945116972558486,0.0516113713385282,0.9483886286614716
Adult-2021.Fairlearn-GS.BASELINE-results.100-trials-per-algo.threshold=0.5.use-val-threshold=False,Fairlearn-GS-LGBM.003,test,0.5,88255.0,242831.0,0.3703146614474789,0.266562162096857,0.2152532617037605,0.7847467382962394,0.3538081333703081,0.6461918666296919,0.6251638547084444,0.4915188941136479,0.5692774358332737,0.4114464030807024,0.5,0.0,172860.0,0.4445909984958926,0.0,0.0,1.0,0.0,1.0,0.5554090015041073,0.0,0.5,0.0,0.5,88255.0,69971.0,0.2891686574899195,0.5577781148483815,0.3989970837186144,0.6010029162813856,0.9480919701009748,0.0519080298990252,0.7013701920038427,0.4915188941136479,0.7745474431911803,0.6474042788170944,0.0,0.3989970837186144,0.0519080298990252,0.9480919701009748
Adult-2021.Fairlearn-GS.BASELINE-results.100-trials-per-algo.threshold=0.5.use-val-threshold=False,Fairlearn-GS-LGBM.004,validation,0.5,84432.0,246654.0,0.3707526141244269,0.2550153132418767,0.2004655962752298,0.7995344037247702,0.3475979829084895,0.6524020170915105,0.6319777942890971,0.5053534205040743,0.57356619331663,0.4118870756770584,0.5,1.0,172082.0,0.4441112718862409,5.811149270991324e-06,0.0,1.0,1.3084894797445829e-05,0.9999869151052024,0.55589453926303,1.0,0.5000065424473987,2.6169447170428524e-05,0.5,84431.0,74572.0,0.2913592825292604,0.5310025597001314,0.3706556853278426,0.6293443146721573,0.9209963951907096,0.0790036048092904,0.7143198556002088,0.5053475619144627,0.7751703549314335,0.6526101653436119,0.0,0.3706556853278426,0.0790046385766747,0.920983310295912
Adult-2021.Fairlearn-GS.BASELINE-results.100-trials-per-algo.threshold=0.5.use-val-threshold=False,Fairlearn-GS-LGBM.004,test,0.5,84232.0,246854.0,0.3703146614474789,0.2544112405840174,0.2017507674597083,0.7982492325402917,0.3439554344811836,0.6560445655188164,0.6300175785143437,0.5006529584955837,0.5711023335107377,0.4077683984567632,0.5,0.0,172860.0,0.4445909984958926,0.0,0.0,1.0,0.0,1.0,0.5554090015041073,0.0,0.5,0.0,0.5,84232.0,73994.0,0.2891686574899195,0.532352457876708,0.3739686321929013,0.6260313678070987,0.9216899068933864,0.0783100931066136,0.7115265506301114,0.5006529584955837,0.7738606373502426,0.6488544920222178,0.0,0.3739686321929013,0.0783100931066136,0.9216899068933864
